246, 120
227, 120
202, 136
197, 154
208, 184
232, 206
259, 202
276, 182
274, 150
264, 132
259, 126
246, 118
-1, -1
196, 129
196, 124
189, 99
203, 111
216, 126
-1, -1
259, 121
275, 112
298, 99
292, 120
284, 135
277, 144
-1, -1
223, 178
227, 181
239, 182
243, 180
247, 177
-1, -1
222, 155
210, 160
184, 182
180, 187
-1, -1
217, 164
206, 197
202, 217
-1, -1
247, 162
282, 202
303, 223
-1, -1
252, 143
297, 171
-1, -1
288, 166
340, 141
380, 196
336, 217
341, 168
386, 155
424, 134
396, 127
396, 178
412, 234
336, 245
294, 221
276, 208
269, 204
-1, -1
420, 129
427, 127
473, 134
-1, -1
